EmployeeId,CommuteDistance,DegreeCompleted,DegreeField,Department,EmploymentEndDate,EmploymentEndReason,EmploymentStartDate,Gender,JobLevel,MaritalStatus,NumPreviousCompanies,NumYearsWorked,OvertimeDays,OvertimeHours,Salary,TrainingsAttended,TravelFrequency,WeeklyHoursBudgeted,YearOfBirth
1028,9,Master,Business,Human Resources,,,9/25/16,Male,4,Married,6,21,4,7,87200,0,No travel,40,1977
1029,8,Master,Other,Information Technology,2/28/19,Retired,6/5/18,Male,1,Married,,5,13,15,51000,3,Monthly,40,1989
1030,7,Master,Other,Accounting,6/24/19,Fired,5/15/13,Male,1,Married,2,21,1,4,92100,1,Less than monthly,40,1973
1031,3,Master,Finance,Information Technology,,,10/29/17,Female,3,Married,4,13,6,16,78200,3,No travel,40,1983
1032,16,Master,Business,Other,11/1/19,Went to another company,8/1/19,Female,4,Single,4,19,1,2,89900,2,Monthly,40,1976
1033,10,Bachelor,Other,Sales,4/11/19,Retired,6/22/91,Female,2,Single,,27,3,6,53800,1,Monthly,40,1970
1034,13,Bachelor,Finance,Other,,,1/26/18,Male,1,Married,2,17,3,13,63600,2,monthly,40,1981
1035,7,Bachelor,Other,Marketing,11/15/19,Fired,7/25/14,Male,3,Married,3,26,2,11,71800,2,Weekly,40,1969
1036,11,Master,Other,Other,11/1/19,Went to another company,4/23/16,Male,4,Married,2,18,13,26,87200,0,Weekly,40,1977
1037,14,Doctor,Other,Marketing,,,1/22/14,Male,4,,6,30,4,6,88800,2,No travel,40,1964
1038,10,Bachelor,Other,Other,,,8/7/18,Male,1,Single,5,25,7,23,80600,1,Monthly,40,1969
1039,6,Master,Other,Other,7/5/19,Retired,9/1/09,Male,3,Married,,14,2,5,70500,0,Monthly,40,1979
1040,11,Bachelor,Business,Other,,,12/27/13,Female,1,Divorced,1,10,1,2,51700,2,Monthly,40,1983
1041,6,Master,Finance,Other,,,11/1/12,Female,5,Married,2,22,1,3,108000,1,Weekly,40,1973
1042,7,Master,Finance,Other,,,2/7/18,Female,3,Married,2,14,1,2,70500,3,Less than monthly,40,1980
1043,8,Bachelor,Life Sciences,Marketing,,,6/3/17,Female,1,Married,2,19,1,2,48200,1,Monthly,40,1975
1044,8,Bachelor,Other,Other,2/15/19,Went to another company,11/17/09,Female,2,Married,2,31,57,64,105900,2,Monthly,40,1967
1045,13,Bachelor,Marketing,Marketing,7/15/19,Retired,5/29/10,Male,1,Single,,13,1,2,40400,2,Monthly,40,1984
1046,8,Master,Life Sciences,Other,,,2/21/19,Female,2,Single,0,1,25,27,43600,2,Monthly,40,1993
1047,8,Master,Other,Other,8/9/19,Fired,4/23/18,Male,2,Married,6,21,4,10,78800,2,None,40,1972
1048,9,Below College,,Other,,,10/16/16,Male,1,Single,2,9,2,6,50200,1,monthly,40,1985
1049,16,Doctor,Life Sciences,Marketing,1/17/19,Went to another company,12/2/16,Female,2,,2,16,4,6,48500,1,No travel,40,1982
1050,8,Bachelor,Business,Marketing,,,1/4/16,Female,2,Single,2,17,1,4,50000,1,Monthly,40,1978
1051,6,Bachelor,Business,Sales,7/26/19,Retired,7/18/07,Male,1,Married,,15,1,6,34300,0,No travel,40,1980
1052,5,Master,Finance,Marketing,,,4/1/19,Female,1,Married,2,8,2,6,34800,2,Weekly,40,1988
1053,2,Bachelor,Business,Information Technology,3/7/19,Retired,2/4/04,Female,4,Single,,18,2,4,99700,0,Weekly,40,1978
1054,13,Master,Marketing,Accounting,,,8/29/16,Male,1,Married,1,6,2,8,59100,1,No travel,40,1992
1055,8,Associate,Business,Other,,,10/31/15,Female,1,Married,2,10,1,4,51700,1,No travel,40,1985
1056,2,Bachelor,Finance,Other,,,9/28/18,Female,3,,2,14,2,7,70500,0,No travel,40,1984
1057,10,Bachelor,Other,Other,,,1/31/16,Female,1,Single,4,15,1,2,60000,2,monthly,40,1979
1058,10,Bachelor,Business,Other,,,9/18/14,Female,2,Married,3,28,12,13,96900,1,Weekly,40,1968
1059,13,Master,Life Sciences,Other,5/20/19,Went to another company,4/13/11,Female,1,Single,2,21,8,19,71600,1,No travel,40,1975
1060,9,Bachelor,Life Sciences,Human Resources,,,2/24/12,Male,1,Single,1,13,2,3,51700,1,No travel,40,1981
1061,9,Master,Other,Information Technology,8/1/19,Went to another company,10/26/13,Female,5,Married,3,35,5,11,181300,0,Less than monthly,40,1963
1062,8,Master,Other,Other,8/14/19,Went to another company,5/15/19,Male,2,Single,5,22,1,3,81100,0,Less than Monthly,40,1974
1063,14,Master,Finance,Human Resources,1/10/19,Went to another company,9/27/17,Female,3,Married,0,3,1,5,46500,1,weekly,40,1995
1064,12,Bachelor,Business,Other,,,12/11/12,Male,2,Married,2,29,4,13,99800,1,None,40,1969
1065,13,Master,Marketing,Marketing,9/26/19,Went to another company,8/3/19,Female,3,Single,1,4,2,11,37500,0,Weekly,40,1994
1066,20,Bachelor,Finance,Other,,,3/21/10,Female,1,Single,0,10,16,20,51700,2,monthly,40,1983
1067,10,Master,Other,Other,10/10/19,Went to another company,12/17/15,Male,3,Divorced,2,18,2,7,79300,1,Weekly,40,1976
1068,5,Bachelor,Finance,Other,,,3/31/18,Female,1,Single,0,2,1,3,40800,1,Monthly,40,1995
1069,9,Master,Life Sciences,Marketing,,,6/7/19,Female,2,Married,1,9,2,6,39500,1,Monthly,40,1988
1070,12,Associate,Business,Accounting,,,6/4/17,Female,2,Married,4,29,1,6,128300,1,Monthly,40,1968
1071,11,Bachelor,Other,Other,,,10/9/17,Male,2,Single,1,10,3,8,56900,2,No travel,40,1985
1072,16,Master,Finance,Other,7/5/19,Went to another company,6/6/19,Male,3,Married,2,13,1,6,68400,1,Monthly,40,1984
1073,13,Bachelor,Life Sciences,Accounting,,,11/23/16,Male,2,Married,2,16,1,3,87400,1,Monthly,40,1981
1074,13,Bachelor,Life Sciences,Accounting,,,4/26/18,Male,1,Divorced,0,2,1,2,52500,4,Less than Monthly,40,1993
1075,12,Master,Finance,Marketing,12/27/19,Went to another company,3/3/15,Male,3,Married,0,5,6,10,38600,1,monthly,40,1990
1076,5,Master,Finance,Information Technology,,,2/18/16,Female,1,Married,2,10,1,7,59100,1,monthly,40,1988
1077,6,Master,Other,Other,,,7/5/18,Female,2,Married,1,2,5,8,44900,4,No travel,40,1991
1078,14,Bachelor,Marketing,Human Resources,6/21/19,Fired,5/27/19,Male,1,Single,3,15,1,2,54800,4,No travel,40,1981
1079,14,Master,Other,Sales,,,10/31/09,Male,3,Married,2,30,8,10,64600,1,None,40,1968
1080,5,Bachelor,Business,Accounting,10/17/19,Went to another company,9/20/17,Male,2,Married,3,21,6,24,101300,1,Weekly,40,1976
1081,8,Master,Business,Other,,,4/15/19,Male,1,Single,1,7,0,0,47400,1,None,40,1990
1082,12,Bachelor,Marketing,Accounting,,,12/17/09,Male,4,Married,2,28,5,9,150700,1,Monthly,40,1969
1083,12,Master,Other,Sales,,,9/3/19,Male,3,Single,5,18,1,5,45300,0,No travel,40,1975
1084,6,Master,Marketing,Accounting,,,7/9/17,Male,3,Single,0,3,2,8,65400,0,None,40,1992
1085,12,Master,Finance,Sales,11/22/19,Went to another company,12/22/17,Female,3,Single,1,13,3,12,39100,2,Monthly,40,1985
1086,8,Bachelor,Marketing,Accounting,4/3/19,Retired,6/14/06,Female,1,Single,,14,2,8,74900,2,Monthly,40,1980
1087,7,Master,Marketing,Accounting,,,5/5/15,Male,4,Single,2,21,2,10,122600,1,Monthly,40,1976
1088,9,Master,Other,Other,,,7/29/15,Female,4,Single,7,41,5,8,172200,0,monthly,40,1956
1089,9,Master,Computer Science,Marketing,,,6/2/16,Female,3,Married,3,12,4,9,47400,3,Weekly,40,1983
1090,14,Bachelor,Technical Degree,Other,,,7/22/18,Female,3,Single,1,5,0,0,54000,3,Weekly,40,1993
1091,5,Bachelor,Computer Science,Information Technology,,,10/16/08,Male,5,Married,1,22,19,29,123400,2,None,40,1975
1092,17,Bachelor,Other,Other,7/16/19,Retired,11/21/16,Male,3,Divorced,,7,2,10,57300,2,Monthly,40,1989
1093,11,Bachelor,Other,Other,10/8/19,Went to another company,6/6/15,Male,4,Married,5,25,2,4,107300,2,monthly,40,1969
1094,11,Master,Finance,Other,,,10/4/11,Male,5,Married,2,35,3,11,158600,2,No travel,40,1958
1095,13,Associate,Computer Science,Other,,,6/20/16,Female,2,Married,7,30,1,3,102800,2,No travel,40,1966
1096,7,Master,Marketing,Marketing,8/15/19,Went to another company,4/28/11,Female,3,Single,1,20,7,16,60100,1,Less than Monthly,40,1973
1097,1,Master,Finance,Sales,6/24/19,Fired,6/9/19,Female,2,Single,4,17,2,11,40000,4,None,40,1979
1098,9,Master,Business,Other,,,11/6/14,Female,2,Married,1,12,5,13,60400,2,None,40,1986
1099,9,Master,Finance,Marketing,3/28/19,Fired,11/7/17,Female,3,Single,5,22,2,7,63800,4,Weekly,40,1971
1100,7,Master,Marketing,Marketing,,,1/14/19,Female,1,Divorced,0,1,4,8,28300,2,None,40,1995
1101,7,Bachelor,Business,Marketing,,,8/13/17,Male,1,Single,1,12,5,6,39200,1,None,40,1986
1102,7,Bachelor,Other,Accounting,,,11/15/16,Female,1,Married,0,4,4,13,55700,0,No travel,40,1990
1103,21,Bachelor,Marketing,Information Technology,,,2/13/19,Male,1,Single,2,6,1,6,52500,1,None,40,1987
1104,7,Master,Life Sciences,Other,11/18/19,Went to another company,6/26/19,Female,2,Married,4,24,1,4,86100,2,Monthly,40,1969
1105,15,Master,Other,Other,8/2/19,Retired,2/27/03,Female,3,Single,,15,1,6,72600,2,Less than Monthly,40,1981
1106,9,Master,Business,Accounting,,,2/8/19,Male,3,Married,1,1,3,10,61700,0,No travel,40,1995
1107,7,Master,Other,Accounting,,,2/24/19,Female,3,Married,5,21,1,2,111400,0,Weekly,40,1975
1108,12,Master,Marketing,Marketing,,,9/7/11,Female,3,Divorced,0,9,7,8,43400,1,No travel,40,1987
1109,13,Doctor,Business,Marketing,,,9/25/12,Female,5,,3,29,8,13,94900,3,Less than monthly,40,1965
1110,4,Master,Finance,Sales,11/15/19,Went to another company,8/25/17,Male,2,Married,1,3,2,4,26400,2,None,40,1995
1111,11,Bachelor,Marketing,Other,,,12/18/08,Male,1,Single,0,12,2,9,54900,0,None,40,1981
1112,2,Bachelor,Life Sciences,Accounting,,,2/25/15,Female,1,Single,3,13,1,5,72700,2,None,40,1984
1113,8,Bachelor,Other,Marketing,3/8/19,Retired,1/12/16,Female,1,Married,,5,2,8,31900,1,Weekly,40,1988
1114,5,Bachelor,Finance,Marketing,,,6/30/15,Male,1,,1,13,7,8,40400,1,Less than Monthly,40,1981
1115,14,Bachelor,Business,Human Resources,5/3/19,Went to another company,2/10/18,Male,1,Single,1,6,6,13,42000,-1,Less than Monthly,40,1989
1116,6,Bachelor,Finance,Accounting,,,4/16/18,Male,4,Married,7,25,9,14,137900,0,Less than Monthly,40,1969
1117,1,Master,Marketing,Marketing,,,11/15/18,Male,2,Single,6,30,1,2,73400,1,Less than Monthly,40,1966
1118,15,Bachelor,Business,Information Technology,,,3/16/13,Male,1,Divorced,1,15,5,12,68600,1,None,40,1979
1119,11,Doctor,Computer Science,Other,,,9/19/18,Female,2,Married,2,10,1,3,56900,0,Monthly,40,1987
1120,10,Bachelor,Computer Science,Other,,,7/27/10,Female,1,Divorced,0,10,24,26,51700,1,Monthly,40,1988
1121,11,Master,Other,Marketing,7/4/19,Fired,1/8/14,Male,4,Single,1,18,1,4,62300,2,Weekly,40,1979
1122,8,Master,Other,Information Technology,,,2/3/16,Male,3,Single,2,12,2,6,75900,2,Weekly,40,1982
1123,5,Master,Other,Other,,,12/5/14,Male,3,Divorced,2,14,1,5,70500,1,Monthly,40,1979
1124,11,Bachelor,Business,Other,7/31/19,Retired,9/4/03,Male,1,Married,,17,11,30,63600,5,None,40,1976
1125,6,Master,Marketing,Human Resources,,,12/4/17,Female,3,Married,3,15,1,4,66400,2,None,40,1983
1126,15,Associate,Business,Other,,,7/14/13,Female,1,Married,1,18,1,4,65500,1,None,40,1978
1127,13,Master,Business,Marketing,,,6/22/19,Male,2,Single,1,3,1,1,33100,1,None,40,1993
1128,12,Master,Marketing,Accounting,,,11/13/13,Male,3,Married,1,15,2,8,93300,2,Weekly,40,1982
1129,9,Master,Other,Marketing,,,1/15/18,Male,2,Single,0,2,2,4,32100,3,Monthly,40,1994
1130,7,Associate,Business,Other,9/17/19,Went to another company,10/5/13,Female,2,Single,3,33,35,41,112300,2,Weekly,40,1964
1131,8,Bachelor,Technical Degree,Other,,,11/9/18,Female,2,Married,3,19,4,11,74300,0,monthly,40,1975
1132,10,Master,Technical Degree,Marketing,9/6/19,Went to another company,1/15/17,Male,1,Married,2,17,1,4,45500,1,Monthly,40,1980
1133,7,Bachelor,Finance,Information Technology,,,7/26/17,Female,2,Divorced,7,28,2,4,110700,1,Less than Monthly,40,1969
1134,13,Bachelor,Computer Science,Other,,,8/5/19,Male,2,Married,3,8,17,43,53600,1,Weekly,40,1988
1135,10,Master,Business,Sales,12/6/19,Went to another company,1/21/14,Female,5,Married,3,21,5,7,59900,2,Monthly,40,1972
1136,4,Bachelor,Business,Other,,,6/29/12,Male,1,Married,2,19,3,10,67500,3,No travel,40,1978
1137,14,Master,Computer Science,Marketing,,,1/31/19,Male,4,Divorced,8,35,1,6,103000,2,No travel,40,1961
1138,2,Master,Business,Other,,,4/14/15,Male,3,Married,2,9,1,1,60800,4,Monthly,40,1989
1139,8,Bachelor,Life Sciences,Other,,,1/13/15,Female,1,Married,2,12,1,3,54900,2,Monthly,40,1985
1140,11,Associate,Other,Other,5/16/19,Retired,1/25/95,Female,2,Married,,27,6,12,94100,2,No travel,40,1966
1141,8,Master,Business,Other,,,4/19/12,Male,5,Single,2,29,3,10,132800,1,None,40,1966
1142,2,Bachelor,Life Sciences,Other,2/1/19,Went to another company,12/7/12,Male,3,Married,2,23,1,5,91900,1,Monthly,40,1971
1143,5,Master,Finance,Marketing,,,4/6/18,Male,2,Married,1,1,2,4,31200,1,None,40,1994
1144,10,Master,Marketing,Information Technology,,,6/11/19,Female,2,Married,0,1,9,31,49900,1,None,40,1993
1145,16,Master,Finance,Accounting,6/3/19,Went to another company,11/9/15,Female,3,Married,2,16,2,9,96100,1,Less than monthly,40,1977
1146,13,Bachelor,Computer Science,Other,,,2/28/19,Male,2,Married,0,1,1,5,43600,1,Weekly,40,1993
1147,5,Bachelor,Business,Information Technology,,,5/16/15,Male,2,Single,2,25,5,20,101300,1,monthly,40,1973
1148,12,Master,Marketing,Marketing,,,4/17/19,Female,2,Married,1,3,1,4,33100,1,Weekly,40,1992
1149,9,Bachelor,Finance,Marketing,,,6/6/17,Female,3,Single,1,11,1,3,46100,3,No travel,40,1982
1150,11,Bachelor,Business,Accounting,,,4/17/19,Male,1,Married,1,5,1,4,57400,1,Monthly,40,1990
1151,6,Bachelor,Computer Science,Other,,,6/23/19,Male,2,Single,2,12,2,7,60400,7,Monthly,40,1983
1152,6,Bachelor,Business,Accounting,,,4/2/15,Female,2,Married,3,16,3,4,87400,2,monthly,40,1982
1153,8,Bachelor,Business,Information Technology,,,10/2/14,Male,1,Single,2,15,1,4,68600,2,weekly,40,1979
1154,6,Bachelor,Business,Sales,,,5/7/19,Male,2,Single,2,11,3,11,33500,2,Less than Monthly,40,1983
1155,10,Master,Marketing,Other,,,11/17/15,Male,2,Married,2,12,5,22,60400,1,Less than Monthly,40,1983
1156,11,Bachelor,Finance,Information Technology,8/29/19,Retired,5/24/11,Female,1,Divorced,,9,4,8,57400,4,Less than Monthly,40,1988
1157,1,Master,Business,Accounting,,,8/23/19,Female,5,Married,2,8,3,11,91800,1,None,40,1988
1158,4,Master,Technical Degree,Other,,,2/23/17,Female,3,Married,1,12,9,10,66400,0,Monthly,40,1984
1159,6,Master,Marketing,Marketing,,,12/17/15,Female,4,Married,2,24,3,4,74400,0,Monthly,40,1974
1160,11,Master,Other,Sales,,,3/21/18,Male,4,Married,3,18,12,32,49900,4,Monthly,40,1978
1161,12,Master,Other,Accounting,,,6/24/14,Female,3,Divorced,6,34,2,8,163600,2,Monthly,40,1959
1162,6,Bachelor,Finance,Marketing,,,3/17/16,Male,1,Married,0,4,6,22,31000,2,monthly,40,1989
1163,6,Master,Finance,Marketing,,,12/1/14,Male,4,Married,3,20,17,34,66100,1,No travel,40,1978
1164,1,Master,Business,Marketing,,,2/5/19,Female,2,Single,1,6,6,16,36100,3,No travel,40,1992
1165,11,Master,Other,Other,,,7/10/08,Female,2,Married,1,20,4,9,76500,0,monthly,40,1976
1166,15,Master,Finance,Other,,,1/19/16,Male,3,Single,1,7,2,8,57300,3,No travel,40,1987
1167,12,Bachelor,Other,Other,,,5/23/16,Female,1,,2,17,6,13,63600,1,Monthly,40,1979
1168,12,Associate,Computer Science,Accounting,11/18/19,Fired,6/8/19,Male,1,Married,1,4,1,2,55700,2,None,40,1993
1169,6,Master,Marketing,Other,,,6/7/18,Female,1,Married,0,2,1,4,40800,2,None,40,1991
1170,13,Bachelor,Marketing,Other,9/16/19,Went to another company,11/15/15,Male,1,Single,2,17,1,5,63600,0,Weekly,40,1978
1171,1,Bachelor,Other,Other,,,7/2/19,Male,1,Married,6,20,4,11,69500,1,None,40,1975
1172,10,Master,Computer Science,Other,5/14/19,Retired,5/15/96,Female,4,Married,,26,2,9,110500,0,No travel,40,1972
1173,8,Bachelor,Finance,Accounting,11/11/19,Retired,11/9/11,Male,3,Divorced,2,21,2,5,111400,5,None,40,1972
1174,7,Bachelor,Computer Science,Marketing,,,6/22/15,Male,3,Married,5,32,1,7,85700,2,No travel,40,1966
1175,2,Master,Marketing,Other,,,7/31/19,Male,4,Married,1,4,2,9,57700,0,No travel,40,1994
1176,16,Master,Finance,Sales,,,9/13/17,Female,3,Married,3,23,3,5,52500,2,None,40,1973
1177,7,Bachelor,Business,Marketing,,,6/21/15,Male,2,Married,3,18,1,3,51500,2,Monthly,40,1977
1178,3,Master,Technical Degree,Other,,,4/8/19,Male,4,Divorced,4,16,8,18,82200,0,None,40,1978
1179,3,Bachelor,Marketing,Marketing,1/10/19,Retired,1/20/11,Male,1,Married,,11,2,5,38100,0,None,40,1982
1180,9,Master,Business,Information Technology,,,5/19/19,Male,2,Married,0,1,10,14,49900,1,Less than monthly,40,1994
1181,13,Master,Technical Degree,Other,8/2/19,Retired,11/26/87,Female,3,Single,,32,3,10,120000,1,None,40,1964
1182,15,Bachelor,Business,Other,6/26/19,Went to another company,6/18/19,Female,1,Married,1,5,1,4,44600,0,None,40,1992
1183,15,Bachelor,Other,Accounting,,,1/6/18,Female,1,Single,0,2,1,1,52500,1,Less than Monthly,40,1994
1184,12,Bachelor,Business,Other,3/1/19,Went to another company,6/22/16,Female,1,Married,4,22,3,9,73800,1,Monthly,40,1974
1185,2,Bachelor,Finance,Marketing,5/14/19,Went to another company,5/19/16,Male,2,Married,0,4,5,12,34000,1,None,40,1993
1186,8,Bachelor,Other,Accounting,,,2/25/14,Male,2,Single,2,18,1,3,92700,1,Monthly,40,1979
1187,9,Master,Business,Information Technology,,,3/1/18,Male,4,Married,5,24,1,5,119000,1,No travel,40,1972
1188,8,Master,Business,Information Technology,,,7/3/17,Female,3,Married,0,3,4,16,58200,2,Weekly,40,1993
1189,1,Bachelor,Business,Other,,,4/17/16,Female,1,Single,2,17,3,12,63600,0,Less than monthly,40,1980
1190,4,Master,Marketing,Other,3/29/19,Retired,1/14/00,Male,2,Single,,22,2,7,81100,0,No travel,40,1973
1191,10,Bachelor,Marketing,Marketing,,,3/29/15,Female,3,Single,3,18,6,21,56600,2,Weekly,40,1977
1192,2,Master,Other,Sales,5/14/19,Retired,6/11/87,Female,4,Single,,34,1,6,80000,0,Less than Monthly,40,1964
1193,5,Bachelor,Finance,Other,,,4/23/12,Female,3,Married,1,20,1,4,84100,3,No travel,40,1973
1194,11,Master,Finance,Other,,,1/19/14,Male,4,Married,3,25,1,3,107300,1,weekly,40,1968
1195,1,Master,Other,Marketing,,,2/26/16,Male,2,Single,1,4,3,13,34000,2,Monthly,40,1994
1196,8,Bachelor,Business,Other,11/20/19,Went to another company,4/9/19,Male,1,Married,0,1,5,17,39700,2,None,40,1994
1197,8,Bachelor,Computer Science,Other,,,12/12/14,Female,1,Married,1,9,1,1,50200,1,No travel,40,1987
1198,12,Bachelor,Business,Other,3/20/19,Went to another company,1/22/13,Male,2,Single,0,7,24,33,52100,1,No travel,40,1986
1199,7,Bachelor,Business,Information Technology,,,1/30/17,Female,1,Married,2,4,2,8,49500,2,Weekly,40,1994
1200,11,Associate,Other,Sales,,,2/3/08,Male,2,Single,1,22,1,4,46400,1,None,40,1976
1201,11,Bachelor,Other,Other,,,1/24/19,Female,2,Single,6,23,26,53,83600,0,None,40,1970
1202,6,Bachelor,Other,Information Technology,6/3/19,Fired,2/18/19,Female,1,Single,5,20,2,4,79500,0,Monthly,40,1978
1203,7,Bachelor,Business,Accounting,,,8/10/15,Female,4,Married,4,35,1,6,185400,1,No travel,40,1959
1204,15,Master,Business,Information Technology,4/11/19,Went to another company,4/27/14,Female,4,Single,2,22,7,12,112200,2,Less than Monthly,40,1975
1205,18,Bachelor,Marketing,Sales,11/25/19,Went to another company,9/2/19,Female,1,Divorced,0,1,4,12,22700,2,No travel,40,1993
1206,13,Bachelor,Other,Sales,5/24/19,Went to another company,7/12/12,Female,2,Single,3,29,3,5,57000,2,None,40,1966
1207,7,Master,Finance,Information Technology,,,11/2/11,Female,2,Single,1,18,7,11,82400,1,Monthly,40,1975
1208,12,Bachelor,Technical Degree,Other,7/31/19,Retired,9/6/12,Female,2,,2,32,1,3,109100,1,Monthly,40,1966
1209,7,Master,Business,Information Technology,,,1/1/17,Female,1,Married,2,17,1,2,72700,0,None,40,1979
1210,11,Bachelor,Other,Sales,,,8/8/17,Male,2,Married,2,12,1,2,34500,0,Weekly,40,1984
1211,12,Bachelor,Business,Marketing,,,12/22/17,Female,3,Married,1,4,1,5,37500,1,No travel,40,1990
1212,10,Master,Finance,Accounting,,,10/14/09,Female,5,Married,2,30,4,15,175900,1,Weekly,40,1968
1213,9,Master,Marketing,Other,,,6/5/15,Male,4,,2,24,1,2,104200,1,Monthly,40,1970
1214,6,Master,Finance,Other,,,5/29/18,Female,3,Married,1,1,1,1,48000,1,Monthly,40,1993
1215,7,Bachelor,Business,Marketing,7/15/19,Retired,8/1/11,Male,2,Single,3,42,3,14,104700,2,None,40,1952
1216,10,Bachelor,Technical Degree,Sales,,,8/4/19,Female,1,Married,2,5,2,3,25500,1,No travel,40,1988
1217,9,Bachelor,Marketing,Marketing,,,6/29/19,Male,3,Married,3,17,1,4,55000,1,monthly,40,1981
1218,14,Master,Other,Marketing,,,7/9/15,Female,2,Married,0,5,3,7,35100,1,Monthly,40,1990
1219,8,Master,Marketing,Marketing,,,11/16/13,Male,2,Married,3,26,3,13,65200,1,No travel,40,1967
1220,8,Associate,Computer Science,Other,,,6/16/15,Female,3,Married,2,16,2,5,74800,1,Monthly,40,1981
1221,15,Bachelor,Finance,Accounting,5/10/19,Went to another company,8/19/17,Female,2,Married,0,3,3,13,59500,1,Weekly,40,1992
1222,16,Master,Business,Information Technology,12/10/19,Went to another company,5/13/19,Female,2,Single,1,3,1,3,52900,1,Monthly,40,1994
1223,14,Master,Business,Other,9/26/19,Retired,7/29/17,Male,3,Married,,5,1,3,54000,1,Weekly,40,1991
1224,9,Master,Other,Accounting,,,11/9/16,Male,4,Married,0,4,1,4,74200,2,None,40,1993
1225,5,Bachelor,Other,Other,,,10/17/16,Female,3,Divorced,2,23,1,6,91900,2,Weekly,40,1975
1226,1,Associate,Technical Degree,Information Technology,,,8/6/19,Female,1,Married,1,1,1,3,45300,1,No travel,40,1992
1227,9,Bachelor,Life Sciences,Sales,,,7/13/14,Female,2,Married,1,8,1,1,30700,3,Monthly,40,1986
1228,1,Master,Other,Other,10/11/19,Fired,6/9/19,Male,2,Married,1,5,1,3,49100,2,No travel,40,1990
1229,13,Master,Marketing,Marketing,,,6/18/19,Female,2,Married,0,1,1,3,31200,1,Weekly,40,1995
1230,3,Bachelor,Business,Marketing,,,10/2/16,Female,1,Married,3,15,4,12,42800,0,No travel,40,1982
1231,2,Bachelor,Marketing,Marketing,,,1/31/15,Female,2,Married,2,11,2,5,41900,1,Monthly,40,1984
