EmployeeId,QuestionNum,QuestionText,Response
1023,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1023,Q4,How would you rate you work/life balance?,Good
e1024,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
e1024,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1024,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1024,Q4,How would you rate you work/life balance?,Fair
E1025,Q1,How satisfied are you with your job?,Very Satisfied
E1025,Q2,How satisfied are you with the company?,Very Satisfied
E1025,Q3,How satisfied are you with your manager?,Very Satisfied
E1025,Q4,How would you rate you work/life balance?,Good
E1026,Q1,How satisfied are you with your job?,Very Satisfied
E1026,Q2,How satisfied are you with the company?,Very Satisfied
E1026,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1026,Q4,How would you rate you work/life balance?,Good
1027,Q1,How satisfied are you with your job?,Very Satisfied
1027,Q2,How satisfied are you with the company?,Very Satisfied
1027,Q3,How satisfied are you with your manager?,Very Satisfied
1027,Q4,How would you rate you work/life balance?,Good
E1028,Q1,How satisfied are you with your job?,Very Satisfied
E1028,Q2,How satisfied are you with the company?,Very Satisfied
E1028,Q3,How satisfied are you with your manager?,Very Satisfied
E1028,Q4,How would you rate you work/life balance?,Excellent
e1029,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1029,Q2,How satisfied are you with the company?,Very Satisfied
e1029,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1029,Q4,How would you rate you work/life balance?,Good
1030,Q1,How satisfied are you with your job?,Very Satisfied
1030,Q2,How satisfied are you with the company?,Very Satisfied
1030,Q3,How satisfied are you with your manager?,Very Satisfied
1030,Q4,How would you rate you work/life balance?,Excellent
E1031,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1031,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
E1031,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1031,Q4,How would you rate you work/life balance?,Fair
e1032,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1032,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
e1032,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1032,Q4,How would you rate you work/life balance?,Poor
e1033,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1033,Q2,How satisfied are you with the company?,Very Satisfied
e1033,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1033,Q4,How would you rate you work/life balance?,Good
e1034,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1034,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1034,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1034,Q4,How would you rate you work/life balance?,Poor
1035,Q1,How satisfied are you with your job?,Somewhat Satisfied
1035,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1035,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1035,Q4,How would you rate you work/life balance?,Fair
E1036,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1036,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
E1036,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
E1036,Q4,How would you rate you work/life balance?,Poor
1037,Q1,How satisfied are you with your job?,Very Satisfied
1037,Q2,How satisfied are you with the company?,Very Satisfied
1037,Q3,How satisfied are you with your manager?,Very Satisfied
1037,Q4,How would you rate you work/life balance?,Excellent
1038,Q1,How satisfied are you with your job?,Somewhat Satisfied
1038,Q2,How satisfied are you with the company?,Somewhat Satisfied
1038,Q3,How satisfied are you with your manager?,Very Satisfied
1038,Q4,How would you rate you work/life balance?,Excellent
e1039,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1039,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1039,Q3,How satisfied are you with your manager?,Very Satisfied
e1039,Q4,How would you rate you work/life balance?,Excellent
E1040,Q1,How satisfied are you with your job?,Very Unsatisfied
E1040,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
E1040,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
E1040,Q4,How would you rate you work/life balance?,Very Poor
1041,Q1,How satisfied are you with your job?,Somewhat Satisfied
1041,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
1041,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1041,Q4,How would you rate you work/life balance?,Fair
E1042,Q1,How satisfied are you with your job?,Very Satisfied
E1042,Q2,How satisfied are you with the company?,Very Satisfied
E1042,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1042,Q4,How would you rate you work/life balance?,Fair
E1043,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1043,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
E1043,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
E1043,Q4,How would you rate you work/life balance?,Poor
1044,Q1,How satisfied are you with your job?,Somewhat Satisfied
1044,Q2,How satisfied are you with the company?,Very Satisfied
1044,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1044,Q4,How would you rate you work/life balance?,Good
e1045,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1045,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1045,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1045,Q4,How would you rate you work/life balance?,Excellent
E1046,Q1,How satisfied are you with your job?,Very Satisfied
E1046,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1046,Q3,How satisfied are you with your manager?,Very Satisfied
E1046,Q4,How would you rate you work/life balance?,Excellent
E1047,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1047,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1047,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1047,Q4,How would you rate you work/life balance?,Good
e1048,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1048,Q2,How satisfied are you with the company?,Very Satisfied
e1048,Q3,How satisfied are you with your manager?,Very Satisfied
e1048,Q4,How would you rate you work/life balance?,Good
1049,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1049,Q2,How satisfied are you with the company?,Very Satisfied
1049,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1049,Q4,How would you rate you work/life balance?,Fair
1050,Q1,How satisfied are you with your job?,Somewhat Satisfied
1050,Q2,How satisfied are you with the company?,Somewhat Satisfied
1050,Q3,How satisfied are you with your manager?,Very Satisfied
1050,Q4,How would you rate you work/life balance?,Excellent
E1051,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1051,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1051,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
E1051,Q4,How would you rate you work/life balance?,Poor
e1052,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1052,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1052,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1052,Q4,How would you rate you work/life balance?,Fair
E1053,Q1,How satisfied are you with your job?,Very Satisfied
E1053,Q2,How satisfied are you with the company?,Very Satisfied
E1053,Q3,How satisfied are you with your manager?,Very Satisfied
E1053,Q4,How would you rate you work/life balance?,Excellent
e1054,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
e1054,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1054,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1054,Q4,How would you rate you work/life balance?,Good
E1055,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1055,Q2,How satisfied are you with the company?,Very Satisfied
E1055,Q3,How satisfied are you with your manager?,Very Satisfied
E1055,Q4,How would you rate you work/life balance?,Good
E1056,Q1,How satisfied are you with your job?,Very Satisfied
E1056,Q2,How satisfied are you with the company?,Very Satisfied
E1056,Q3,How satisfied are you with your manager?,Very Satisfied
E1056,Q4,How would you rate you work/life balance?,Excellent
e1057,Q1,How satisfied are you with your job?,Very Satisfied
e1057,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1057,Q3,How satisfied are you with your manager?,Very Satisfied
e1057,Q4,How would you rate you work/life balance?,Excellent
E1058,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1058,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
E1058,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1058,Q4,How would you rate you work/life balance?,Good
1059,Q1,How satisfied are you with your job?,Very Satisfied
1059,Q2,How satisfied are you with the company?,Very Satisfied
1059,Q3,How satisfied are you with your manager?,Very Satisfied
1059,Q4,How would you rate you work/life balance?,Excellent
E1060,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1060,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1060,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
E1060,Q4,How would you rate you work/life balance?,Good
E1061,Q1,How satisfied are you with your job?,Very Satisfied
E1061,Q2,How satisfied are you with the company?,Very Satisfied
E1061,Q3,How satisfied are you with your manager?,Very Satisfied
E1061,Q4,How would you rate you work/life balance?,Excellent
e1062,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1062,Q2,How satisfied are you with the company?,Very Satisfied
e1062,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1062,Q4,How would you rate you work/life balance?,Fair
E1063,Q1,How satisfied are you with your job?,Very Satisfied
E1063,Q2,How satisfied are you with the company?,Very Satisfied
E1063,Q3,How satisfied are you with your manager?,Very Satisfied
E1063,Q4,How would you rate you work/life balance?,Excellent
E1064,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1064,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1064,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1064,Q4,How would you rate you work/life balance?,Good
e1065,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1065,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1065,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
e1065,Q4,How would you rate you work/life balance?,Fair
E1066,Q1,How satisfied are you with your job?,Very Satisfied
E1066,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1066,Q3,How satisfied are you with your manager?,Very Satisfied
E1066,Q4,How would you rate you work/life balance?,Good
E1067,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1067,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1067,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1067,Q4,How would you rate you work/life balance?,Good
e1068,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1068,Q2,How satisfied are you with the company?,Very Satisfied
e1068,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1068,Q4,How would you rate you work/life balance?,Excellent
E1069,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1069,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1069,Q3,How satisfied are you with your manager?,Very Satisfied
E1069,Q4,How would you rate you work/life balance?,Excellent
e1070,Q1,How satisfied are you with your job?,Very Satisfied
e1070,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1070,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1070,Q4,How would you rate you work/life balance?,Good
e1071,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
e1071,Q2,How satisfied are you with the company?,Very Unsatisfied
e1071,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
e1071,Q4,How would you rate you work/life balance?,Fair
1072,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1072,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1072,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
1072,Q4,How would you rate you work/life balance?,Fair
1073,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1073,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
1073,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
1073,Q4,How would you rate you work/life balance?,Very Poor
e1074,Q1,How satisfied are you with your job?,Very Unsatisfied
e1074,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
e1074,Q3,How satisfied are you with your manager?,Very Unsatisfied
e1074,Q4,How would you rate you work/life balance?,Poor
e1075,Q1,How satisfied are you with your job?,Very Satisfied
e1075,Q2,How satisfied are you with the company?,Very Satisfied
e1075,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1075,Q4,How would you rate you work/life balance?,Good
E1076,Q1,How satisfied are you with your job?,Very Satisfied
E1076,Q2,How satisfied are you with the company?,Very Satisfied
E1076,Q3,How satisfied are you with your manager?,Very Satisfied
E1076,Q4,How would you rate you work/life balance?,Excellent
E1077,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1077,Q2,How satisfied are you with the company?,Very Unsatisfied
E1077,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
E1077,Q4,How would you rate you work/life balance?,Fair
1078,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1078,Q2,How satisfied are you with the company?,Somewhat Satisfied
1078,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1078,Q4,How would you rate you work/life balance?,Fair
1079,Q1,How satisfied are you with your job?,Very Satisfied
1079,Q2,How satisfied are you with the company?,Very Satisfied
1079,Q3,How satisfied are you with your manager?,Very Satisfied
1079,Q4,How would you rate you work/life balance?,Excellent
1080,Q1,How satisfied are you with your job?,Very Satisfied
1080,Q2,How satisfied are you with the company?,Very Satisfied
1080,Q3,How satisfied are you with your manager?,Very Satisfied
1080,Q4,How would you rate you work/life balance?,Excellent
E1081,Q1,How satisfied are you with your job?,Very Satisfied
E1081,Q2,How satisfied are you with the company?,Very Satisfied
E1081,Q3,How satisfied are you with your manager?,Very Satisfied
E1081,Q4,How would you rate you work/life balance?,Excellent
e1082,Q1,How satisfied are you with your job?,Very Satisfied
e1082,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1082,Q3,How satisfied are you with your manager?,Very Satisfied
e1082,Q4,How would you rate you work/life balance?,Excellent
1083,Q1,How satisfied are you with your job?,Somewhat Satisfied
1083,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1083,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1083,Q4,How would you rate you work/life balance?,Fair
1084,Q1,How satisfied are you with your job?,Somewhat Satisfied
1084,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1084,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1084,Q4,How would you rate you work/life balance?,Good
1085,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
1085,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1085,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
1085,Q4,How would you rate you work/life balance?,Poor
1086,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
1086,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1086,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1086,Q4,How would you rate you work/life balance?,Poor
1087,Q1,How satisfied are you with your job?,Very Satisfied
1087,Q2,How satisfied are you with the company?,Very Satisfied
1087,Q3,How satisfied are you with your manager?,Very Satisfied
1087,Q4,How would you rate you work/life balance?,Good
E1088,Q1,How satisfied are you with your job?,Very Satisfied
E1088,Q2,How satisfied are you with the company?,Very Satisfied
E1088,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1088,Q4,How would you rate you work/life balance?,Excellent
e1089,Q1,How satisfied are you with your job?,Very Satisfied
e1089,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1089,Q3,How satisfied are you with your manager?,Very Satisfied
e1089,Q4,How would you rate you work/life balance?,Good
1090,Q1,How satisfied are you with your job?,Somewhat Satisfied
1090,Q2,How satisfied are you with the company?,Somewhat Satisfied
1090,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1090,Q4,How would you rate you work/life balance?,Good
E1091,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1091,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1091,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
E1091,Q4,How would you rate you work/life balance?,Poor
E1092,Q1,How satisfied are you with your job?,Very Satisfied
E1092,Q2,How satisfied are you with the company?,Very Satisfied
E1092,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1092,Q4,How would you rate you work/life balance?,Excellent
1093,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1093,Q2,How satisfied are you with the company?,Somewhat Satisfied
1093,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1093,Q4,How would you rate you work/life balance?,Poor
1094,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
1094,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
1094,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1094,Q4,How would you rate you work/life balance?,Fair
E1095,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1095,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
E1095,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1095,Q4,How would you rate you work/life balance?,Good
E1096,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
E1096,Q2,How satisfied are you with the company?,Somewhat Unsatisfied
E1096,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
E1096,Q4,How would you rate you work/life balance?,Very Poor
e1097,Q1,How satisfied are you with your job?,Very Satisfied
e1097,Q2,How satisfied are you with the company?,Somewhat Satisfied
e1097,Q3,How satisfied are you with your manager?,Very Satisfied
e1097,Q4,How would you rate you work/life balance?,Good
e1098,Q1,How satisfied are you with your job?,Very Satisfied
e1098,Q2,How satisfied are you with the company?,Very Satisfied
e1098,Q3,How satisfied are you with your manager?,Very Satisfied
e1098,Q4,How would you rate you work/life balance?,Excellent
1099,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1099,Q2,How satisfied are you with the company?,Somewhat Satisfied
1099,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1099,Q4,How would you rate you work/life balance?,Excellent
e1100,Q1,How satisfied are you with your job?,Very Satisfied
e1100,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1100,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1100,Q4,How would you rate you work/life balance?,Fair
E1101,Q1,How satisfied are you with your job?,Very Satisfied
E1101,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1101,Q3,How satisfied are you with your manager?,Very Satisfied
E1101,Q4,How would you rate you work/life balance?,Excellent
1102,Q1,How satisfied are you with your job?,Very Satisfied
1102,Q2,How satisfied are you with the company?,Somewhat Satisfied
1102,Q3,How satisfied are you with your manager?,Very Satisfied
1102,Q4,How would you rate you work/life balance?,Excellent
1103,Q1,How satisfied are you with your job?,Very Satisfied
1103,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1103,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1103,Q4,How would you rate you work/life balance?,Good
1104,Q1,How satisfied are you with your job?,Very Satisfied
1104,Q2,How satisfied are you with the company?,Very Satisfied
1104,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1104,Q4,How would you rate you work/life balance?,Good
e1105,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1105,Q2,How satisfied are you with the company?,Very Satisfied
e1105,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1105,Q4,How would you rate you work/life balance?,Good
E1106,Q1,How satisfied are you with your job?,Very Satisfied
E1106,Q2,How satisfied are you with the company?,Very Satisfied
E1106,Q3,How satisfied are you with your manager?,Very Satisfied
E1106,Q4,How would you rate you work/life balance?,Excellent
1107,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1107,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1107,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1107,Q4,How would you rate you work/life balance?,Good
1108,Q1,How satisfied are you with your job?,Very Satisfied
1108,Q2,How satisfied are you with the company?,Somewhat Satisfied
1108,Q3,How satisfied are you with your manager?,Very Satisfied
1108,Q4,How would you rate you work/life balance?,Excellent
e1109,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
e1109,Q2,How satisfied are you with the company?,Very Satisfied
e1109,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1109,Q4,How would you rate you work/life balance?,Fair
e1110,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1110,Q2,How satisfied are you with the company?,Very Satisfied
e1110,Q3,How satisfied are you with your manager?,Very Satisfied
e1110,Q4,How would you rate you work/life balance?,Good
1111,Q1,How satisfied are you with your job?,Somewhat Satisfied
1111,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1111,Q3,How satisfied are you with your manager?,Neither Satisfied nor Unsatisfied
1111,Q4,How would you rate you work/life balance?,Good
E1112,Q1,How satisfied are you with your job?,Somewhat Satisfied
E1112,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1112,Q3,How satisfied are you with your manager?,Somewhat Satisfied
E1112,Q4,How would you rate you work/life balance?,Fair
E1113,Q1,How satisfied are you with your job?,Very Satisfied
E1113,Q2,How satisfied are you with the company?,Somewhat Satisfied
E1113,Q3,How satisfied are you with your manager?,Very Satisfied
E1113,Q4,How would you rate you work/life balance?,Excellent
1114,Q1,How satisfied are you with your job?,Neither Satisfied nor Unsatisfied
1114,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
1114,Q3,How satisfied are you with your manager?,Somewhat Satisfied
1114,Q4,How would you rate you work/life balance?,Excellent
e1115,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1115,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
e1115,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1115,Q4,How would you rate you work/life balance?,Good
e1116,Q1,How satisfied are you with your job?,Somewhat Satisfied
e1116,Q2,How satisfied are you with the company?,Very Satisfied
e1116,Q3,How satisfied are you with your manager?,Somewhat Satisfied
e1116,Q4,How would you rate you work/life balance?,Good
E1117,Q1,How satisfied are you with your job?,Somewhat Unsatisfied
E1117,Q2,How satisfied are you with the company?,Neither Satisfied nor Unsatisfied
E1117,Q3,How satisfied are you with your manager?,Somewhat Unsatisfied
